Név,Irányítószám,Születési év,E-mail cím,TAJ-szám
Eustacia Foux;1631;1980;efouxa@harvard.edu;123456881
Jammie Seivertsen;6991;1925;jseivertsenb@ox.ac.uk;123456898
Jasun Tennick;8196;1955;jtennickc@merriam-webster.com;123456908
Joanne Rikel;4764;1932;jrikeld@google.co.uk;123456915
Gustavus Wassung;3139;1996;gwassunge@yolasite.com;123456922
Kirsteni Antuoni;7375;1912;kantuonif@mozilla.com;123456939
Karry Kropach;6165;1944;kkropachg@istockphoto.com;123456946
Fawn Monkeman;8388;1946;fmonkemanh@unblog.fr;123456953
Haywood Swait;3393;1924;hswaiti@constantcontact.com;123456960
Harlene Farncombe;6071;1924;hfarncombej@netscape.com;123456977
Alisa McNern;4202;1912;amcnernk@yahoo.co.jp;123456984
Bette-ann Candie;7869;1933;bcandiel@taobao.com;123456991
Neilla Kittow;7421;1989;nkittowm@cocolog-nifty.com;123457008
